OrganizationId,websiteURL,charityName,ein,rating,city,postalCode,streetAddress
75,http://www.chicagoyouthprograms.org/,Chicago Youth Programs,363635676,4,Chicago,60615,5350 South Prairie Avenue
76,http://www.brookfieldzoo.org,Chicago Zoological Society,362167016,3,Brookfield,60513,3300 Golf Road
77,https://camponestep.org/,Children's Oncology Services,364263831,4,Chicago,60610,213 West Institute Place
78,http://www.cbmus.org,Christian Blind Mission International,362959883,4,Wheaton,60187,PO Box 340
79,http://www.cureepilepsy.org,Citizens United for Research in Epilepsy,364253176,3,Chicago,60611,420 N. Wabash Avenue
80,https://www.civicfed.org,Civic Federation,362170124,3,Chicago,60602,10 North Dearborn Street
81,http://www.casel.org/,"Collaborative for Academic, Social, and Emotional Learning",205884201,4,Chicago,60607,815 West Van Buren Street
82,http://collisioneducationfoundation.org/,Collision Repair Education Foundation,363768028,4,Hoffman Estates,60192,5125 Trillium Boulevard
83,https://www.cisofchicago.org/,Communities in Schools of Chicago,363591326,4,Chicago,60607,815 West Van Buren Street
84,http://www.communitysharesillinois.org,Community Shares of Illinois,363073918,2,Champaign,61820,44 E. Main Street
85,http://cawc.org,Connections for Abused Women and their Children,362950380,4,Chicago,60651,1116 North Kedzie Avenue
86,http://curesma.org/,Cure SMA,363320440,4,Elk Grove Village,60007,925 Busse Road
87,http://www.dmsf.org/,Daniel Murphy Scholarship Fund,363675466,3,Chicago,60606,309 West Washington
88,http://www.deborahsplace.org/,Deborah's Place,363382973,4,Chicago,60612,2822 West Jackson Boulevard
89,http://www.dbsalliance.org/,"Depression and Bipolar Support Alliance, National Office",363379124,3,Chicago,60604,55 East Jackson Boulevard
90,http://dermatologyfoundation.org/,Dermatology Foundation,46115524,3,Evanston,60201,1560 Sherman Avenue
91,https://dupagechildrens.org/,DuPage Children's Museum,363565001,3,Naperville,60540,301 North Washington Street
92,https://accessdupage.org,Dupage Health Coalition,364448208,4,Carol Stream,60188,511 Thornhill Drive
93,http://dupagepads.org/,DuPage PADS,363675494,4,Wheaton,60187,601 West Liberty
94,http://www.dystonia-foundation.org/,Dystonia Medical Research Foundation,953378526,4,Chicago,60601,One East Wacker Drive
95,http://www.eifoodbank.org/,Eastern Illinois Foodbank,371130252,4,Urbana,61802,2405 North Shore Drive
96,http://www.enlacechicago.org/,Enlace Chicago,363727669,3,Chicago,60623,2756 South Harding Avenue
97,http://www.elpc.org,Environmental Law and Policy Center,363866530,4,Chicago,60601,35 East Wacker Drive
98,https://www.epicacademy.org/,Epic Academy,208674711,3,Chicago,60617,8255 S. Houston Avenue
99,http://www.wgaesf.org,Evans Scholars Foundation,362518129,4,Glenview,60026,2501 Patriot Boulevard
100,http://www.fabretto.org,Fabretto,363894824,4,EVANSTON,60201,1563 Sherman Ave
